REGION,SALARY,YEAR
JAWA TENGAH,1813011,2022
DI YOGYAKARTA,1840951,2022
JAWA TIMUR,1891567,2022
BANTEN,2501203,2022
BALI,2516971,2022
NUSA TENGGARA BARAT,2207212,2022
NUSA TENGGARA TIMUR,1975000,2022
KALIMANTAN BARAT,2434328,2022
KALIMANTAN TENGAH,2922516,2022
KALIMANTAN SELATAN,2906473,2022
KALIMANTAN TIMUR,3014497,2022
KALIMANTAN UTARA,3016738,2022
SULAWESI UTARA,3310723,2022
SULAWESI TENGAH,2390739,2022
SULAWESI SELATAN,3165876,2022
SULAWESI TENGGARA,2710595,2022
GORONTALO,2800580,2022
SULAWESI BARAT,2678863,2022
MALUKU,2619312,2022
MALUKU UTARA,2862231,2022
PAPUA BARAT,3200000,2022
PAPUA,3561932,2022
INDONESIA,2644709,2022
