site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,prod_size,dev_stat,ore,gangue,work_type,hrock_type,arock_type
Mill Creek Limestone Deposit,46.26906,-116.71163,NA,United States,Idaho,Nez Perce,N,"Limestone, General, Stone, Crushed/Broken",,"Marble, Dimension",Surface,S,Past Producer,"Limestone, Marble",,Surface,Limestone,
Bedrock Creek Limestone Mine,46.54096,-116.57103,NA,United States,Idaho,Nez Perce,B,"Limestone, General, Stone, Crushed/Broken",,Copper,Surface,S,Past Producer,Limestone,,Surface,"Schist,Gneiss,Limestone",
Copper Basin,34.49172,-112.58408,NA,United States,Arizona,Yavapai,M,Copper,Molybdenum,"Gold, Lead, Zinc, Silver",Surface,S,Past Producer,"Chalcocite, Chalcopyrite, Chrysocolla, Copper, Malachite, Molybdenite, Pyrite, Tenorite, Azurite, Bornite, Cuprite, Ferrimolybdite, Hematite, Jarosite, Limonite",,"Surface, Underground","Quartz Monzonite,Diorite,Metasedimentary Rock,Quartz Latite","Quartz Monzonite,Diorite,Quartz Latite"
Poison Canyon Mine,35.34311,-107.82701,NA,United States,New Mexico,McKinley,M,"Uranium, Vanadium",,Selenium,Surface-Underground,M,Past Producer,"Carnotite, Coffinite, Tyuyamunite",,Surface/Underground,Sandstone,
Magmont Mine,37.63949,-91.12258,NA,United States,Missouri,Iron,M,Lead,"Cadmium, Silver, Copper, Zinc","Cobalt, Nickel",Underground,M,Producer,"Galena, Sphalerite, Bornite, Bravoite, Chalcopyrite, Linnaeite, Marcasite, Millerite, Pyrite, Siegenite","Calcite, Dickite, Dolomite, Kaolinite, Quartz, Soda Niter",Underground,"Sandstone,Dolomite",
Adanac Claim,44.21517,-116.22097,NA,United States,Idaho,Gem,B,Beryllium,,Feldspar,Surface,N,Prospect,Beryl,"Garnet, Muscovite, Quartz, Tourmaline",Surface,,
Robinson Mine,43.09052,-111.30111,NA,United States,Idaho,Bonneville,M,Gold,,"Copper, Silver",Underground,S,Past Producer,"Bornite, Chalcopyrite","Calcite, Pyrite",Surface/Underground,Limestone,
Yreka United Group Mine,47.51547,-116.10853,NA,United States,Idaho,Shoshone,M,Silver,,"Lead, Zinc",Underground,S,Producer,,,Surface/Underground,"Quartzite,Argillite",
Caledonia Mine,47.52457,-116.16683,NA,United States,Idaho,Shoshone,M,"Lead, Silver",Copper,Gold,Underground,S,Past Producer,"Tetrahedrite, Chalcopyrite, Galena, Sphalerite, Covellite, Malachite, Silver, Massicot, Cerussite","Quartz, Pyrite, Siderite, Limonite",Underground,Quartzite,
Florence Prospect,47.51267,-116.10023,NA,United States,Idaho,Shoshone,M,Lead,,"Zinc, Silver",Underground,N,Prospect,,,Underground,"Quartzite,Argillite",
Teddy Prospect,47.53627,-116.07493,NA,United States,Idaho,Shoshone,M,Silver,,"Lead, Zinc",Underground,N,Prospect,,,Underground,Argillite,
King Solomon Prospect,47.58876,-116.47934,NA,United States,Idaho,Kootenai,M,Lead,,Zinc,Underground,N,Prospect,"Galena, Sphalerite","Pyrite, Quartz",Surface/Underground,"Slate,Schist",
Commonwealth Mine,47.82296,-116.65825,NA,United States,Idaho,Kootenai,B,"Copper, Silver, Gold",,"Zinc, Lead, Barium-Barite",Underground,S,Past Producer,"Barite, Chalcopyrite, Galena, Gold, Malachite, Silver, Sphalerite, Tetrahedrite",Quartz,Underground,"Shale,Argillite",
Bradbury Prospect,47.86456,-116.60465,NA,United States,Idaho,Kootenai,M,Copper,,"Lead, Zinc, Molybdenum",Underground,N,Prospect,"Chalcopyrite, Galena, Malachite","Ankerite, Pyrite, Quartz, Siderite",Underground,Quartzite,
Connie Prospect,47.85486,-116.55745,NA,United States,Idaho,Kootenai,M,Silver,,"Zinc, Lead",Underground,N,Prospect,"Galena, Sphalerite","Pyrite, Quartz",Underground,Quartzite,
Burnt Cabin Prospect,47.77176,-116.57915,NA,United States,Idaho,Kootenai,M,Copper,,"Gold, Silver, Lead, Zinc",Underground,N,Prospect,Chalcopyrite,"Ankerite, Pyrite, Quartz, Siderite, Specularite",Surface/Underground,"Shale,Argillite",
Rainbow No. 2 Prospect,47.75236,-116.41714,NA,United States,Idaho,Kootenai,M,Lead,,Zinc,Underground,N,Prospect,"Galena, Sphalerite","Ankerite, Pyrite, Quartz, Siderite",Underground,"Quartzite,Argillite",
Hamburg - American Prospect,47.72676,-116.36774,NA,United States,Idaho,Kootenai,M,Copper,,"Zinc, Lead",Underground,N,Prospect,"Chalcopyrite, Galena, Sphalerite","Ankerite, Quartz, Siderite",Underground,"Quartzite,Shale,Argillite",
Hand Spike Group,47.70546,-116.38794,NA,United States,Idaho,Kootenai,M,Copper,,"Lead, Zinc, Silver",Underground,N,Prospect,"Chalcocite, Chalcopyrite, Malachite","Ankerite, Pyrite, Quartz, Siderite",Underground,,
Idaho Diamond Sulphide Group,47.62066,-116.92356,NA,United States,Idaho,Kootenai,B,Copper,Vermiculite,"Gold, Silver",Underground,N,Prospect,"Copper, Gold, Silver, Vermiculite",,Surface/Underground,Gneiss,
Wilson Mutual Prospect,47.61706,-116.66605,NA,United States,Idaho,Kootenai,B,Silver,,"Sulfides, Lead, Zinc",Underground,N,Prospect,,Pyrrhotite,Underground,Quartzite,
Coeur d'Alene Mountain Prospect,47.60876,-116.68825,NA,United States,Idaho,Kootenai,M,Lead,,"Zinc, Arsenic",Underground,N,Prospect,Lead,,Underground,Quartzite,
Gray Wolf Prospect,47.59766,-116.65775,NA,United States,Idaho,Kootenai,M,Lead,,"Copper, Zinc, Bismuth",Underground,N,Past Producer,"Bismuthinite, Chalcopyrite, Galena, Jamesonite, Sphalerite, Tetradymite, Tetrahedrite","Bismuth, Calcite, Pyrite, Pyrrhotite, Quartz",Underground,Quartzite,
Caribou Mine,47.60096,-116.66025,NA,United States,Idaho,Kootenai,M,Silver,,"Zinc, Copper, Lead",Underground,S,Past Producer,"Chalcopyrite, Galena, Sphalerite, Tetrahedrite","Pyrite, Pyrrhotite, Quartz",Underground,"Quartz Monzonite,Quartzite",Quartz Monzonite
Blue Bird Prospect,47.59706,-116.62525,NA,United States,Idaho,Kootenai,M,Lead,,"Arsenic, Copper, Silver, Tungsten, Zinc",Underground,N,Prospect,Galena,Quartz,Surface/Underground,"Slate,Quartzite",
Radio Prospect,47.57406,-116.62185,NA,United States,Idaho,Kootenai,M,Lead,,Zinc,Underground,N,Prospect,Galena,Quartz,Underground,"Quartzite,Shale,Sandstone",
Gray Eagle Prospect,47.52766,-116.54294,NA,United States,Idaho,Kootenai,M,Lead,,"Zinc, Copper",Underground,N,Prospect,"Chalcopyrite, Galena, Sphalerite","Pyrite, Quartz",Underground,"Quartzite,Shale,Sandstone",
Stroebel Prospect,47.52986,-116.55935,NA,United States,Idaho,Kootenai,M,Lead,,"Zinc, Silver, Copper",Underground,N,Prospect,"Chalcopyrite, Galena, Sphalerite","Ankerite, Pyrite, Quartz, Siderite",Underground,Schist,
Rainbow No. 3 Prospect,47.41706,-116.50434,NA,United States,Idaho,Kootenai,M,Lead,Silver,"Copper, Zinc",Underground,N,Prospect,"Chalcopyrite, Galena, Silver, Sphalerite","Ankerite, Calcite, Pyrrhotite, Quartz",Underground,Quartzite,
Palisades Property,47.42626,-116.35354,NA,United States,Idaho,Kootenai,M,"Lead, Copper",,"Zinc, Silver",Underground,N,Prospect,"Chalcopyrite, Galena, Silver, Sphalerite","Barite, Magnetite, Pyrite, Quartz, Siderite, Specularite",Surface/Underground,"Quartzite,Shale",Lamprophyre
Sidney Mine,47.48987,-116.19383,NA,United States,Idaho,Shoshone,M,"Lead, Silver, Zinc","Copper, Gold",,Underground,M,Past Producer,"Sphalerite, Galena, Chalcopyrite, Tetrahedrite, Smithsonite, Cerussite","Quartz, Siderite, Pyrite, Ankerite, Pyrrhotite, Arsenopyrite, Dolomite, Magnesite, Chlorite, Muscovite, Calcite, Feldspar, Marcasite",Underground,Quartzite,Meta-Argillite
Nevada Stewart Prospect,47.48297,-116.17163,NA,United States,Idaho,Shoshone,M,"Silver, Lead, Zinc",,Antimony,Underground,N,Past Producer,"Lead, Silver, Sphalerite, Stibnite","Pyrite, Quartz, Siderite, Pyrrhotite",Underground,"Slate,Argillite",
Page Mine,47.52547,-116.20163,NA,United States,Idaho,Shoshone,M,"Zinc, Silver, Lead",Copper,"Cobalt, Nickel, Uranium, Gold",Underground,M,Past Producer,"Chalcopyrite, Galena, Gersdorffite, Pyrargyrite, Sphalerite, Tetrahedrite","Ankerite, Pyrite, Quartz",Underground,Quartzite,
Tri-State Cedar Corp. Prospect,47.23127,-116.02572,NA,United States,Idaho,Shoshone,B,Beryllium,,Mica,Surface,N,Prospect,Beryl,,Surface,Quartzite,
Edwards Mine,44.33092,-75.26706,NA,United States,New York,St. Lawrence,B,Zinc,"Cadmium, Sulfur-Pyrite, Lead","Iron, Barium-Barite, Copper",Underground,L,Past Producer,"Sphalerite, Pyrite, Galena, Pyrrhotite, Magnetite, Hematite, Barite","Quartz, Diopside, Tremolite, Serpentine, Talc, Calcite, Dolomite, Anhydrite, Chlorite, Ilvaite, Garnet, Phlogopite",Underground,Marble,
Afterthought,40.73596,-122.08331,NA,United States,California,Shasta,M,Copper,"Gold, Silver, Lead",,Underground,S,Past Producer,"Bornite, Chalcocite, Chalcopyrite, Covellite, Galena, Limonite, Malachite, Pyrite, Sphalerite, Azurite, Tennantite, Tetrahedrite, Luzonite",Barite,Underground,Rhyolite,
Sugarman and Negro,38.00769,-120.37072,NA,United States,California,Tuolumne,M,"Gold, Silver",,,Underground,Y,Past Producer,"Gold, Petzite, Sylvanite, Silver, Quartz",Mica,Underground,"Slate,Quartzite,Mica Schist",Granite
Blackstone Mine,42.10913,-111.4466,NA,United States,Idaho,Bear Lake,M,Lead,,"Gold, Silver, Molybdenum, Zinc",Underground,S,Past Producer,"Galena, Sphalerite, Wulfenite","Calcite, Dolomite, Siderite",Underground,Limestone,
Bonanza Shaft,42.22603,-111.18219,NA,United States,Idaho,Bear Lake,M,Copper,,Silver,Underground,N,Past Producer,Malachite,,Underground,"Shale,Sandstone",
Colorado - Idaho Mine,42.14913,-111.15049,NA,United States,Idaho,Bear Lake,M,Gold,,Silver,Underground,S,Past Producer,,,Underground,Limestone,
Henry North Continuation,42.905,-111.50818,NA,United States,Idaho,Caribou,N,Phosphorus-Phosphates,,"Vanadium, Uranium, REE, Fluorine-Fluorite",Surface,N,Past Producer,,Travertine,Surface,Shale,Limestone
Georgetown Canyon Mine,42.53795,-111.23944,NA,United States,Idaho,Bear Lake,N,Phosphorus-Phosphates,,,Surface-Underground,M,Past Producer,Apatite,"Calcite, Collophane, Dolomite, Feldspar, Limonite, Muscovite, Quartz, Sericite",Surface/Underground,Shale,Limestone
Champ Lease,42.67132,-111.275,NA,United States,Idaho,Caribou,B,Phosphorus-Phosphates,,"Vanadium, REE, Fluorine-Fluorite, Uranium",Surface,N,Past Producer,,,Surface,Shale,
Waterloo Mine,42.32163,-111.23829,NA,United States,Idaho,Bear Lake,B,Phosphorus-Phosphates,,"Oil Shale, Fluorine-Fluorite, REE, Uranium, Vanadium",Surface,M,Past Producer,Oil Shale,,Surface/Underground,Shale,"Sandstone,Limestone"
Terrible Edith Mine,47.63427,-115.82712,NA,United States,Idaho,Shoshone,M,"Zinc, Lead","Tungsten, Gold, Silver",Copper,Underground,S,Producer,"Chalcopyrite, Galena, Gold, Scheelite, Sphalerite, Tetrahedrite","Ankerite, Pyrite, Pyrrhotite, Quartz, Specularite",Underground,"Slate,Quartzite,Argillite",
Jack Waite Mine,47.66399,-115.74444,NA,United States,"Idaho, Montana","Shoshone, Sanders",M,"Silver, Lead, Zinc",Copper,Gold,Underground,M,Past Producer,"Chalcopyrite, Galena, Pyromorphite, Sphalerite, Tetrahedrite, Cerussite, Pyrrhotite","Pyrite, Quartz",Underground,"Quartzite,Slate",
Success Mine,47.52737,-115.87162,NA,United States,Idaho,Shoshone,M,Zinc,"Silver, Lead","Gold, Copper",Underground,S,Past Producer,"Chalcopyrite, Galena, Sphalerite, Tetrahedrite","Biotite, Garnet, Magnetite, Mica, Pyrite, Pyroxene, Pyrrhotite, Quartz, Siderite",Underground,Quartzite,"Syenite,Monzonite"
Wakeup Jim Mine,47.61157,-115.88132,NA,United States,Idaho,Shoshone,M,"Gold, Silver",,"Lead, Zinc, Copper, Tungsten",Surface,S,Producer,"Chalcopyrite, Galena, Gold, Scheelite, Sphalerite","Pyrite, Quartz, Specularite",Underground,Argillite,
Galena Mine,47.47957,-115.96382,NA,United States,Idaho,Shoshone,M,Silver,"Zinc, Lead, Copper","Gold, Antimony, Uranium",Underground,M,Producer,"Tetrahedrite, Chalcopyrite, Galena, Sphalerite","Quartz, Siderite, Pyrite, Magnetite, Arsenopyrite",Underground,Quartzite,
Hercules Mine,47.54297,-115.81822,NA,United States,Idaho,Shoshone,M,"Lead, Zinc, Silver",Copper,"Nickel, Gold",Underground,M,Past Producer,"Chalcopyrite, Galena, Sphalerite, Tetrahedrite, Cerussite","Hematite, Magnetite, Marcasite, Pyrite, Pyrrhotite, Siderite, Arsenopyrite, Biotite, Andradite, Grunerite, Adularia, Chlorite, Actinolite",Underground,Quartzite,
Sherman Mine,47.52497,-115.82242,NA,United States,Idaho,Shoshone,M,"Lead, Silver",Zinc,"Copper, Gold",Underground,M,Past Producer,"Chalcopyrite, Galena, Sphalerite, Pyromorphite","Calcite, Magnetite, Pyrite, Pyrrhotite, Quartz",Underground,Quartzite,Meta-Argillite
Hecla Mine,47.51847,-115.81742,NA,United States,Idaho,Shoshone,M,"Silver, Lead","Copper, Zinc",Gold,Underground,L,Past Producer,"Galena, Tetrahedrite, Sphalerite, Chalcopyrite, Cerussite","Quartz, Siderite, Pyrite, Pyrrhotite, Calcite, Limonite",Underground,Quartzite,
Stanley Mine,47.52737,-115.81042,NA,United States,Idaho,Shoshone,M,Antimony,Gold,"Mercury, Lead, Silver",Underground,S,Producer,"Cinnabar, Gold, Stibnite",Quartz,Underground,"Quartzite,Argillite",
Dayrock Mine,47.51157,-115.90322,NA,United States,Idaho,Shoshone,M,"Zinc, Lead, Silver",Copper,Gold,Underground,M,Past Producer,"Galena, Sphalerite, Chalcopyrite, Tetrahedrite","Quartz, Siderite, Ankerite, Calcite, Pyrite, Sericite",Underground,Quartzite,
Helena-Frisco Mine,47.50957,-115.86132,NA,United States,Idaho,Shoshone,M,"Zinc, Lead","Silver, Copper",Gold,Underground,M,Past Producer,"Chalcocite, Chalcopyrite, Galena, Sphalerite, Tetrahedrite","Ankerite, Biotite, Magnetite, Marcasite, Pyrite, Pyrrhotite, Quartz, Siderite",Underground,Quartzite,
Standard - Mammoth Mine,47.52427,-115.83742,NA,United States,Idaho,Shoshone,M,"Silver, Lead",Zinc,"Gold, Copper",Underground,M,Past Producer,"Chalcopyrite, Galena, Sphalerite, Tetrahedrite","Barite, Hematite, Magnetite, Pyrite, Pyrrhotite, Quartz, Siderite",Underground,Quartzite,
Gold Hunter Mine,47.48237,-115.78292,NA,United States,Idaho,Shoshone,M,"Silver, Zinc, Lead",Copper,"Gold, Antimony",Underground,M,Producer,"Galena, Sphalerite, Chalcopyrite, Tetrahedrite","Quartz, Siderite, Pyrite, Barite, Arsenopyrite",Underground,Quartzite,
Verde May Prospect,47.49707,-115.87962,NA,United States,Idaho,Shoshone,M,Silver,,"Zinc, Lead",Underground,N,Prospect,,Quartz,Underground,"Quartzite,Argillite",
Vindicator Silver Lead Prospect,47.47377,-115.76182,NA,United States,Idaho,Shoshone,M,"Lead, Silver",,"Gold, Zinc",Underground,N,Past Producer,Galena,Quartz,Underground,"Quartzite,Argillite",
Western Union Mine,47.50677,-115.95543,NA,United States,Idaho,Shoshone,M,"Lead, Silver",,"Gold, Copper, Zinc",Underground,S,Past Producer,"Chalcopyrite, Galena, Sphalerite, Tetrahedrite","Ankerite, Calcite, Pyrite, Siderite",Underground,Quartzite,
Vienna-International Prospect,47.42907,-115.87212,NA,United States,Idaho,Shoshone,M,Gold,,"Lead, Copper",Underground,N,Prospect,"Chalcopyrite, Galena","Pyrite, Quartz, Siderite",Underground,"Quartzite,Shale",
Treasure Vault Mine,47.53097,-115.88932,NA,United States,Idaho,Shoshone,M,Silver,"Lead, Zinc",,Underground,S,Past Producer,,,Underground,Argillite,
Washington Mining Co Prospect,47.55377,-115.80042,NA,United States,Idaho,Shoshone,M,Lead,,"Zinc, Silver",Underground,N,Prospect,,,Underground,"Quartzite,Argillite",
Smith Creek Deposit,46.16567,-115.73739,NA,United States,Idaho,Idaho,M,Iron,,,Surface,S,Past Producer,Magnetite,"Actinolite, Garnet, Kyanite, Mica, Quartz, Siderite",Surface/Underground,"Quartzite,Schist,Gneiss,Limestone",
Thomas Consolidated Prospect,47.50817,-115.90602,NA,United States,Idaho,Shoshone,M,Lead,,"Silver, Zinc",Underground,N,Prospect,,,Surface/Underground,"Quartzite,Argillite",
Whirlwind Mine,37.24861,-110.44472,NA,United States,Utah,San Juan,M,"Uranium, Vanadium",,,Underground,Y,Past Producer,"Tyuyamunite, Uraninite",,Underground,"Sandstone,Conglomerate",
Happy Jack Mine (White Canyon area),37.75254,-110.29347,NA,United States,Utah,San Juan,M,Uranium,"Vanadium, Copper, Molybdenum",,Underground,L,Past Producer,"Antlerite, Bornite, Brochantite, Chalcanthite, Chalcocite, Chalcopyrite, Covellite, Malachite, Pitchblende, Uraninite, Zippeite","Barite, Gypsum, Hematite, Jarosite, Limonite",Underground,"Mudstone,Sandstone,Conglomerate",
Shinarump Mine,38.685,-109.70583,NA,United States,Utah,Grand,M,Uranium,Vanadium,Copper,Underground,L,Past Producer,Uraninite,"Barite, Gypsum",Underground,"Mudstone,Sandstone",
Rock Flat Placer,44.93657,-116.16878,NA,United States,Idaho,Adams,B,Gold,Corundum,"Gemstone, REE, Garnet, Zirconium, Titanium",Placer,S,Past Producer,"Chromite, Corundum, Garnet, Gold, Ilmenite, Magnetite, Monazite, Platinum, Zircon",,Surface/Underground,"Gravel,Schist",Granite
Ants Creek Prospect,45.04516,-116.80931,NA,United States,Idaho,Adams,M,Copper,,"Zinc, Silver",Underground,N,Past Producer,"Malachite, Sphalerite, Tetrahedrite","Clay, Limonite, Pyrite, Quartz, Sericite",Underground,"Diabase,Sandstone,Tuff","Diabase,Tuff"
Butcher Bar Placer,45.55707,-116.3021,NA,United States,Idaho,Idaho,M,Gold,,,Placer,S,Past Producer,,,Surface/Underground,"Quartzite,Schist,Granite",
Wild Cat Placer,45.58407,-116.2904,NA,United States,Idaho,Idaho,M,Gold,,Silver,Placer,S,Past Producer,,,Surface,Gravel,
Kimball Mine,46.08861,-88.32921,NA,United States,Michigan,Iron,M,Iron,,,Underground,S,Past Producer,"Hematite, Goethite","Chert, Pyrite, Siderite, Stilpnomelane, Chlorite, Mica",Underground,Iron Formation,
Westvaco Mine and Plant (FMC),41.62031,-109.80954,NA,United States,Wyoming,Sweetwater,N,"Soda Ash, Sodium Carbonate",,Oil Shale,Underground,L,Producer,Trona,"Calcite, Dolomite, Gaylussite, Shortite, Northupite, Pirssonite, Nahcolite, Wegscheiderite",Underground,Evaporite,
General Chemical Corp. Trona Mine and Plant,41.59168,-109.75488,NA,United States,Wyoming,Sweetwater,N,"Soda Ash, Sodium Carbonate",,"Oil Shale, Halite",Underground,L,Producer,Trona,"Shortite, Calcite, Dolomite, Gaylussite, Nahcolite",Underground,Evaporite,
Empire State Mine,42.47022,-108.76905,NA,United States,Wyoming,Fremont,M,Gold,Silver,,Underground,S,Past Producer,"Gold, Arsenopyrite","Pyrite, Quartz",Underground,Slate,
Mary Ellen Mine,42.48778,-108.74556,NA,United States,Wyoming,Fremont,M,Gold,,,Underground,S,Past Producer,Gold,Quartz,Underground,Diorite,Diorite
Independence Mine,41.17636,-106.25952,NA,United States,Wyoming,Albany,M,"Gold, Copper",Bismuth,,Underground,N,Prospect,"Bismuth, Chalcanthite, Chalcopyrite","Hematite, Limonite, Malachite, Quartz",Underground,Schist,Granite
Sunday Morning Mine,42.20972,-106.9975,NA,United States,Wyoming,Carbon,M,Gold,,,Underground,S,Past Producer,Gold,Quartz,Underground,,
Maggie Murphy Group Prospect,42.37968,-105.3745,NA,United States,Wyoming,Albany,M,Iron,"Copper, Graphite",Zinc,Underground,N,Prospect,"Chalcopyrite, Hematite, Marcasite, Pyrrhotite, Sphalerite","Graphite, Hornblende, Limonite, Malachite, Mica, Quartz",Underground,"Schist,Granite",Granite
Lake Creek Mines,41.12053,-106.22895,NA,United States,Wyoming,Albany,M,Copper,"Gold, Silver","Rhodium, Palladium, Platinum",Underground,S,Past Producer,"Chalcopyrite, Pyrite","Barite, Chlorite",Underground,Mylonite,"Diorite,Pyroxenite"
Albany Mine,41.20219,-106.24924,NA,United States,Wyoming,Albany,M,"Copper, Gold",,,Underground,S,Past Producer,Covellite,,Underground,,
Big Five Prospect,42.40607,-105.36061,NA,United States,Wyoming,Albany,M,Copper,,Zinc,Underground,N,Prospect,"Chalcopyrite, Sphalerite, Pyrrhotite","Feldspar, Quartz",Underground,,
Unidentified Prospect,42.135,-107.05083,NA,United States,Wyoming,Carbon,M,Iron,,,Surface-Underground,S,Past Producer,Hematite,,Surface/Underground,,
Unidentified Prospect,42.15639,-107.07111,NA,United States,Wyoming,Carbon,M,Iron,,,Surface,N,Prospect,Hematite,,Surface,,
Copper King Mine,42.494,-105.787,NA,United States,Wyoming,Converse,M,Copper,,,Underground,S,Past Producer,Chalcopyrite,Quartz,Underground,"Schist,Granite",Granite
Spring Lake Creek Prospect,42.39833,-110.7775,NA,United States,Wyoming,Lincoln,M,Copper,,"Silver, Zinc",Underground,N,Occurrence,"Malachite, Pyrite",,Underground,Sandstone,
Griggs Mine,42.43389,-110.77139,NA,United States,Wyoming,Lincoln,M,Copper,"Silver, Gold, Zinc",,Surface-Underground,S,Past Producer,Malachite,,Underground,Sandstone,
Buffalo Shaft,43.08329,-105.52423,NA,United States,Wyoming,Converse,M,Uranium,,,Underground,L,Past Producer,,Pyrite,Underground,Sandstone,
"Balmat No. 2, 3, and 4 mines",44.26438,-75.40739,NA,United States,New York,St. Lawrence,M,Zinc,"Lead, Sulfur-Pyrite",Silver,Surface-Underground,L,Past Producer,"Sphalerite, Galena","Pyrite, Diopside, Quartz, Calcite, Serpentine, Talc, Barite, Anhydrite",Underground,Marble,
Pierrepont Mine,44.54222,-75.00111,NA,United States,New York,St. Lawrence,M,Zinc,Lead,,Underground,S,Past Producer,Sphalerite,,Underground,Marble,
Newport Mine,46.45694,-90.12233,NA,United States,Michigan,Gogebic,M,Iron,,,Underground,M,Past Producer,"Hematite, Goethite",,Underground,Iron Formation,
Penokee Group,46.45333,-90.14789,NA,United States,Michigan,Gogebic,M,Iron,,,Underground,M,Past Producer,"Hematite, Goethite",,Underground,Iron Formation,
Antoine Mine,45.85083,-88.03836,NA,United States,Michigan,Dickinson,M,Iron,,,Surface,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Surface,Iron Formation,
Calumet Mine,45.96556,-87.83364,NA,United States,Michigan,Dickinson,M,Iron,,,Surface-Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Surface/Underground,Iron Formation,
Cundy Mine,45.80667,-87.99253,NA,United States,Michigan,Dickinson,M,Iron,,,Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
Indiana Mine,45.8375,-87.99114,NA,United States,Michigan,Dickinson,M,Iron,,,Surface-Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Surface/Underground,Iron Formation,
Ludington Mine,45.82528,-88.06781,NA,United States,Michigan,Dickinson,M,Iron,,,Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
Millie Mine,45.82194,-88.05309,NA,United States,Michigan,Dickinson,M,Iron,,,Surface-Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Surface/Underground,Iron Formation,
Munro Mine,45.8,-87.93447,NA,United States,Michigan,Dickinson,M,Iron,,,Surface-Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Surface/Underground,Iron Formation,
Northwestern Mine,45.99833,-87.84059,NA,United States,Michigan,Dickinson,M,Iron,,,Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
Saginaw Mine,45.79778,-87.90253,NA,United States,Michigan,Dickinson,M,Iron,,,Surface,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Surface,Iron Formation,
Stephenson Mine,45.79972,-87.90114,NA,United States,Michigan,Dickinson,M,Iron,,,Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
Sturgeon Prospect,45.77833,-87.83892,NA,United States,Michigan,Dickinson,M,Iron,,,Underground,S,Prospect,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
Verona,45.77806,-87.84531,NA,United States,Michigan,Dickinson,M,Iron,,,Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
Vivian Mine,45.81,-88.00142,NA,United States,Michigan,Dickinson,M,Iron,,,Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
Warner Mine,46.22056,-88.43227,NA,United States,Michigan,Iron,M,Iron,,,Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
West Chapin,45.83028,-88.08336,NA,United States,Michigan,Dickinson,M,Iron,,,Surface,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Surface,Iron Formation,
Athens Mine,46.49889,-87.59669,NA,United States,Michigan,Marquette,M,Iron,,,Underground,M,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
Adams Mine,46.51083,-87.58891,NA,United States,Michigan,Marquette,M,Iron,,,Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
Archibald Mine,46.27333,-87.44195,NA,United States,Michigan,Marquette,M,Iron,,,Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
Austin Mine,46.28028,-87.46418,NA,United States,Michigan,Marquette,M,Iron,,,Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
Barnes-Hecker Mine,46.50333,-87.76196,NA,United States,Michigan,Marquette,M,Iron,,,Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
Bessie Mine,46.51222,-87.89975,NA,United States,Michigan,Marquette,M,Iron,,,Underground,S,Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
Blueberry Mine,46.505,-87.80252,NA,United States,Michigan,Marquette,M,Iron,,,Underground,M,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
Carr Mine,46.43111,-87.56808,NA,United States,Michigan,Marquette,M,Iron,,,Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
Chicago Prospect,46.47556,-87.60446,NA,United States,Michigan,Marquette,M,Iron,,,Underground,S,Prospect,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
Detroit Mine,46.505,-87.65808,NA,United States,Michigan,Marquette,M,Iron,,,Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
East Champion,46.50889,-87.96281,NA,United States,Michigan,Marquette,M,Iron,,,Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
Foster Mine,46.45139,-87.65419,NA,United States,Michigan,Marquette,M,Iron,,,Underground,S,Past Producer,"Hematite, Magnetite, Goethite",Quartz,Underground,Iron Formation,
